t,sg,y,v
4.110000, 314.301915, 472.482363 , 377.317088,266.490584 
4.120000, 313.581065, 476.275658 , 380.000259,270.143608 
4.130000, 313.483995, 480.096051 , 382.718944,273.593361 
4.140000, 314.017659, 483.943889 , 385.472126,277.043114 
4.150000, 315.185013, 487.819509 , 388.258696,280.270899 
4.160000, 316.984995, 491.723238 , 391.077544,283.498685 
4.170000, 319.412536, 495.655388 , 393.927474,286.487215 
4.180000, 322.458587, 499.616261 , 396.807288,289.475745 
4.190000, 326.110181, 503.606147 , 399.715713,292.209246 
4.200000, 330.350512, 507.625322 , 402.651473,294.942748 
4.210000, 335.159043, 511.674050 , 405.613222,297.407066 
4.220000, 340.511634, 515.752580 , 408.599615,299.871383 
4.230000, 346.380700, 519.861149 , 411.609242,302.054067 
4.240000, 352.735381, 523.999977 , 414.640696,304.236751 
4.250000, 359.541737, 528.169273 , 417.692515,306.127135 
4.260000, 366.762969, 532.369228 , 420.763239,308.017520 
4.270000, 374.359645, 536.600022 , 423.851360,309.606793 
4.280000, 382.289957, 540.861815 , 426.955375,311.196067 
4.290000, 390.509980, 545.154757 , 430.073741,312.477326 
4.300000, 398.973953, 549.478978 , 433.204921,313.758584 
4.310000, 407.634570, 553.834595 , 436.347348,314.726876 
4.320000, 416.443277, 558.221710 , 439.499459,315.695168 
4.330000, 425.350583, 562.640406 , 442.659672,316.347525 
4.340000, 434.306370, 567.090753 , 445.826409,316.999883 
4.350000, 443.260216, 571.572805 , 448.998085,317.335340 
4.360000, 452.161709, 576.086598 , 452.173116,317.670797 
4.370000, 460.960769, 580.632156 , 455.349922,317.690396 
4.380000, 469.607965, 585.209482 , 458.526924,317.709996 
4.390000, 478.054829, 589.818569 , 461.702558,317.416783 
4.400000, 486.254163, 594.459390 , 464.875259,317.123570 
4.410000, 494.160338, 599.131904 , 468.043490,316.522572 
4.420000, 501.729581, 603.836056 , 471.205711,315.921573 
4.430000, 508.920258, 608.571773 , 474.360418,315.019768 
4.440000, 515.693132, 613.338970 , 477.506106,314.117963 
